Generation,Highest Fp,Average Fp,Iteration,Fp
241,6.55557E+11,2.42205E+11,15.70967742,1.7981E+11
242,6.55557E+11,2.23232E+11,15.77915633,1.23682E+11
243,6.55557E+11,2.50404E+11,15.84863524,1.7981E+11
244,6.55557E+11,1.22728E+11,15.91811414,1.7981E+11
245,6.55557E+11,98333611773,15.98759305,1.7981E+11
246,6.55557E+11,1.31111E+11,16.05707196,1.38642E+11
247,6.55557E+11,65555741182,16.12655087,1.38071E+11
248,6.55557E+11,98333611773,16.19602978,1.52751E+11
249,6.55557E+11,65555741182,16.26550868,1.77719E+11
250,6.55557E+11,65555741182,16.33498759,1.54105E+11
,,,16.4044665,1.5395E+11
,,,16.47394541,1.6613E+11
,,,16.54342432,1.24217E+11
,,,16.61290323,1.27535E+11
,,,16.68238213,1.11133E+11
,,,16.75186104,1.49445E+11
,,,16.82133995,1.52276E+11
,,,16.89081886,1.8259E+11
,,,16.96029777,1.79606E+11
,,,17.02977667,1.55894E+11
,,,17.09925558,1.79811E+11
,,,17.16873449,1.58127E+11
,,,17.2382134,1.79191E+11
,,,17.30769231,1.82167E+11
,,,17.37717122,1.54105E+11
,,,17.44665012,1.7981E+11
,,,17.51612903,1.7981E+11
,,,17.58560794,1.24061E+11
,,,17.65508685,1.79812E+11
,,,17.72456576,1.52276E+11
,,,17.79404467,1.7981E+11
,,,17.86352357,1.26071E+11
,,,17.93300248,1.79812E+11
,,,18.00248139,1.79812E+11
,,,18.0719603,1.79812E+11
,,,18.14143921,1.79812E+11
,,,18.21091811,1.00793E+11
,,,18.28039702,1.82799E+11
,,,18.34987593,1.26211E+11
,,,18.41935484,1.79812E+11
,,,18.48883375,1.79812E+11
,,,18.55831266,1.79812E+11
,,,18.62779156,1.79812E+11
,,,18.69727047,1.79812E+11
,,,18.76674938,1.79812E+11
,,,18.83622829,1.70637E+11
,,,18.9057072,1.79812E+11
,,,18.9751861,1.79812E+11
,,,19.04466501,1.79812E+11
,,,19.11414392,1.79812E+11
,,,19.18362283,1.82799E+11
,,,19.25310174,1.79812E+11
,,,19.32258065,1.82799E+11
,,,19.39205955,1.82799E+11
,,,19.46153846,1.79812E+11
,,,19.53101737,1.82799E+11
,,,19.60049628,1.82799E+11
,,,19.66997519,1.82799E+11
,,,19.73945409,1.79812E+11
,,,19.808933,1.79812E+11
,,,19.87841191,1.82799E+11
,,,19.94789082,1.82799E+11
,,,20.01736973,1.82799E+11
,,,20.08684864,1.6668E+11
,,,20.15632754,1.82799E+11
,,,20.22580645,1.44348E+11
,,,20.29528536,1.8259E+11
,,,20.36476427,1.8259E+11
,,,20.43424318,1.8259E+11
,,,20.50372208,1.8259E+11
